WOE_ID,ISO,Name,Language,PlaceType,Parent_ID
12515224,XS,Pagasa Airport,ENG,Airport,23424921
23424921,XS,Spratly Islands,ENG,Country,1
12497559,XS,Itu Aba Island,ENG,Island,23424921
12497562,XS,Namyit Island,ENG,Island,23424921
12497563,XS,Nanshan Island,ENG,Island,23424921
12497567,XS,Thitu Island,ENG,Island,23424921
12497569,XS,West York Island,ENG,Island,23424921
12509391,XS,Flat Island,ENG,Island,23424921
12509392,XS,Sand Cay,ENG,Island,23424921
2345202,EC,Galapagos,SPA,State,23424801
2345203,EC,Azuay,SPA,State,23424801
2345204,EC,Bolivar,SPA,State,23424801
2345205,EC,Canar,SPA,State,23424801
2345206,EC,Carchi,SPA,State,23424801
2345207,EC,Chimborazo,SPA,State,23424801
2345208,EC,Cotopaxi,SPA,State,23424801
2345209,EC,El Oro,SPA,State,23424801
2345210,EC,Esmeraldas,SPA,State,23424801
2345211,EC,Guayas,SPA,State,23424801
2345212,EC,Imbabura,SPA,State,23424801
2345213,EC,Loja,SPA,State,23424801
2345214,EC,Los Rios,SPA,State,23424801
2345215,EC,Manabi,SPA,State,23424801
2345216,EC,Morona-Santiago,SPA,State,23424801
2345217,EC,Napo,SPA,State,23424801
2345218,EC,Pastaza,SPA,State,23424801
2345219,EC,Pichincha,SPA,State,23424801
2345220,EC,Tungurahua,SPA,State,23424801
2345221,EC,Zamora-Chinchipe,SPA,State,23424801
2345222,EC,Sucumbios,SPA,State,23424801
20070099,EC,Orellana,SPA,State,23424801
56189814,EC,Santo Domingo de los Tsáchilas,SPA,State,23424801
56189815,EC,Santa Elena,SPA,State,23424801
26809486,EC,Aguarico,SPA,County,20070099
26809487,EC,Alausi,SPA,County,2345207
26809488,EC,Alfredo Baquerizo Moreno,SPA,County,2345211
26809489,EC,Ambato,SPA,County,2345220
26809490,EC,Antonio Ante,SPA,County,2345212
26809491,EC,Arajuno,SPA,County,2345218
26809492,EC,Archidona,SPA,County,2345217
26809493,EC,Arenillas,SPA,County,2345209
26809494,EC,Atacames,SPA,County,2345210
26809495,EC,Atahualpa,SPA,County,2345209
26809496,EC,Azogues,SPA,County,2345205
26809497,EC,Baba,SPA,County,2345214
26809498,EC,Babahoyo,SPA,County,2345214
26809499,EC,Balao,SPA,County,2345211
26809500,EC,Balsas,SPA,County,2345209
26809501,EC,Balzar,SPA,County,2345211
26809502,EC,Banos,SPA,County,2345220
26809503,EC,Biblian,SPA,County,2345205
26809504,EC,Bolívar,SPA,County,2345206
26809505,EC,Bolívar,SPA,County,2345215
26809506,EC,Buena Fe,SPA,County,2345214
26809507,EC,Caluma,SPA,County,2345204
26809508,EC,Calvas,SPA,County,2345213
26809510,EC,Carlos Julio Arosemena Tola,SPA,County,2345217
26809511,EC,Cascales,SPA,County,2345222
26809512,EC,Catamayo,SPA,County,2345213
26809513,EC,Cayambe,SPA,County,2345219
26809514,EC,Celica,SPA,County,2345213
26809515,EC,Centinela del Condor,SPA,County,2345221
26809516,EC,Cevallos,SPA,County,2345220
26809517,EC,Chaguarpamba,SPA,County,2345213
26809518,EC,Chambo,SPA,County,2345207
26809519,EC,Chilla,SPA,County,2345209
26809520,EC,Chillanes,SPA,County,2345204
26809521,EC,Chinchipe,SPA,County,2345221
26809522,EC,Chone,SPA,County,2345215
26809523,EC,Chordeleg,SPA,County,2345203
26809524,EC,Chunchi,SPA,County,2345207
26809525,EC,Francisco de Orellana,SPA,County,20070099
26809526,EC,Colimes,SPA,County,2345211
26809527,EC,Colta,SPA,County,2345207
26809528,EC,Coronel Marcelino Mariduena,SPA,County,2345211
26809529,EC,Cotacachi,SPA,County,2345212
26809530,EC,Cuenca,SPA,County,2345203
26809531,EC,Cumanda,SPA,County,2345207
26809532,EC,Cuyabeno,SPA,County,2345222
26809533,EC,Daule,SPA,County,2345211
26809534,EC,Deleg,SPA,County,2345205
26809535,EC,Duran,SPA,County,2345211
26809536,EC,Echeandia,SPA,County,2345204
26809537,EC,El Carmen,SPA,County,2345215
26809538,EC,El Chaco,SPA,County,2345217
26809539,EC,El Empalme,SPA,County,2345211
26809540,EC,El Guabo,SPA,County,2345209
26809541,EC,El Pan,SPA,County,2345203
26809542,EC,El Pangui,SPA,County,2345221
26809544,EC,El Tambo,SPA,County,2345205
26809545,EC,El Triunfo,SPA,County,2345211
26809546,EC,Eloy Alfaro,SPA,County,2345210
26809547,EC,Esmeraldas,SPA,County,2345210
26809548,EC,Espejo,SPA,County,2345206
26809549,EC,Espindola,SPA,County,2345213
26809550,EC,Flavio Alfaro,SPA,County,2345215
26809551,EC,General Antonio Elizalde,SPA,County,2345211
26809552,EC,Giron,SPA,County,2345203
26809553,EC,Gonzalo Pizarro,SPA,County,2345222
26809554,EC,Gonzanama,SPA,County,2345213
26809555,EC,Guachapala,SPA,County,2345203
26809556,EC,Gualaceo,SPA,County,2345203
26809557,EC,Gualaquiza,SPA,County,2345216
26809558,EC,Guamote,SPA,County,2345207
26809559,EC,Guano,SPA,County,2345207
26809560,EC,Guaranda,SPA,County,2345204
26809562,EC,Huaquillas,SPA,County,2345209
26809563,EC,Ibarra,SPA,County,2345212
26809564,EC,Isidro Ayora,SPA,County,2345211
26809565,EC,Jama,SPA,County,2345215
26809566,EC,Jaramijo,SPA,County,2345215
26809567,EC,Jipijapa,SPA,County,2345215
26809568,EC,Junin,SPA,County,2345215
26809569,EC,La Concordia,SPA,County,2345210
26809570,EC,Joya de los Sachas,SPA,County,20070099
26809571,EC,La Libertad,SPA,County,56189815
26809572,EC,La Mana,SPA,County,2345208
26809573,EC,La Troncal,SPA,County,2345205
26809574,EC,Lago Agrio,SPA,County,2345222
26809575,EC,Las Golondrinas,SPA,County,2345212
26809576,EC,Las Lajas,SPA,County,2345209
26809577,EC,Las Naves,SPA,County,2345204
26809578,EC,Latacunga,SPA,County,2345208
26809579,EC,Limon Indanza,SPA,County,2345216
26809580,EC,Logrono,SPA,County,2345216
26809581,EC,Loja,SPA,County,2345213
26809582,EC,Lomas de Sargentillo,SPA,County,2345211
26809583,EC,Loreto,SPA,County,20070099
26809584,EC,Macara,SPA,County,2345213
26809585,EC,Morona,SPA,County,2345216
26809586,EC,Machala,SPA,County,2345209
26809587,EC,Manga del Cura,SPA,County,2345215
26809588,EC,Manta,SPA,County,2345215
26809589,EC,Marcabeli,SPA,County,2345209
26809590,EC,Mejia,SPA,County,2345219
26809591,EC,Mera,SPA,County,2345218
26809592,EC,Milagro,SPA,County,2345211
26809593,EC,Mira,SPA,County,2345206
26809594,EC,Mocache,SPA,County,2345214
26809595,EC,Mocha,SPA,County,2345220
26809596,EC,Montalvo,SPA,County,2345214
26809597,EC,Montecristi,SPA,County,2345215
26809598,EC,Montufar,SPA,County,2345206
26809599,EC,Muisne,SPA,County,2345210
26809600,EC,Nabon,SPA,County,2345203
26809601,EC,Nangaritza,SPA,County,2345221
26809602,EC,Naranjal,SPA,County,2345211
26809603,EC,Naranjito,SPA,County,2345211
26809604,EC,Nobol,SPA,County,2345211
26809605,EC,Sucumbios,SPA,County,2345222
26809606,EC,Olmedo,SPA,County,2345215
26809607,EC,Ona,SPA,County,2345203
26809608,EC,Otavalo,SPA,County,2345212
26809609,EC,Pajan,SPA,County,2345215
26809610,EC,Palanda,SPA,County,2345221
26809611,EC,Palenque,SPA,County,2345214
26809612,EC,Palestina,SPA,County,2345211
26809613,EC,Pallatanga,SPA,County,2345207
26809614,EC,Palora,SPA,County,2345216
26809615,EC,Paltas,SPA,County,2345213
26809616,EC,Pangua,SPA,County,2345208
26809617,EC,Pasaje,SPA,County,2345209
26809618,EC,Patate,SPA,County,2345220
26809619,EC,Paute,SPA,County,2345203
26809620,EC,Pedernales,SPA,County,2345215
26809621,EC,Pedro Carbo,SPA,County,2345211
26809622,EC,Pedro Moncayo,SPA,County,2345219
26809623,EC,Pedro Vicente Maldonado,SPA,County,2345219
26809624,EC,Penipe,SPA,County,2345207
26809625,EC,Pichincha,SPA,County,2345215
26809626,EC,Pimampiro,SPA,County,2345212
26809627,EC,Pinas,SPA,County,2345209
26809628,EC,Pindal,SPA,County,2345213
26809629,EC,Playas,SPA,County,2345211
26809630,EC,Portovelo,SPA,County,2345209
26809631,EC,Portoviejo,SPA,County,2345215
26809632,EC,Pucara,SPA,County,2345203
